Operator,Count,Count (%),Optimized Count,Optimized Count (%),Number of Params,Params (%),Compute Operations,Compute Operations (%),Average Compute-to-Memory Ratio (Operations/Byte),Memory (in Bytes),Memory (%),Weights and Bias Memory (in Bytes),Weights and Bias Memory (%),Output Memory (in Bytes),Output Memory (%)
Add,228.0,3.897,228.0,3.897,0.0,0.0,1477699.0,0.0,0.498,2967568.0,0.0,0.0,0.0,2967568.0,0.0
And,1.0,0.017,1.0,0.017,0.0,0.0,2048.0,0.0,1.0,2048.0,0.0,0.0,0.0,2048.0,0.0
Cast,3.0,0.051,3.0,0.051,0.0,0.0,4097.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
Concat,389.0,6.648,389.0,6.648,0.0,0.0,0.0,0.0,0.0,67576392.0,0.384,0.0,0.0,67576392.0,0.384
Constant,1801.0,30.781,1801.0,30.781,0.0,0.0,0.0,0.0,0.0,14584.0,0.0,0.0,0.0,14584.0,0.0
ConstantOfShape,71.0,1.213,71.0,1.213,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Cos,1.0,0.017,1.0,0.017,0.0,0.0,128.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
Div,97.0,1.658,97.0,1.658,0.0,0.0,1049665.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
Equal,72.0,1.231,72.0,1.231,0.0,0.0,4439.0,0.0,12.942,343.0,0.0,0.0,0.0,343.0,0.0
Expand,71.0,1.213,71.0,1.213,0.0,0.0,268709952.0,3.456,0.5,537469056.0,3.008,0.0,0.0,537469056.0,3.008
Gather,1.0,0.017,1.0,0.017,525336576.0,6.542,0.0,0.0,0.0,1050681344.0,5.938,1050673152.0,5.938,8192.0,0.0
Greater,1.0,0.017,1.0,0.017,0.0,0.0,2048.0,0.0,1.0,2048.0,0.0,0.0,0.0,2048.0,0.0
MatMul,290.0,4.956,290.0,4.956,7504658432.0,93.422,7505839168.0,96.413,1.471,5103880320.0,28.832,5100273664.0,28.832,3606656.0,0.0
Mul,393.0,6.717,393.0,6.717,266240.0,0.0,1780055.0,0.0,0.588,3026944.0,0.0,0.0,0.0,3026944.0,0.0
Neg,64.0,1.094,64.0,1.094,0.0,0.0,81920.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
Pow,65.0,1.111,65.0,1.111,0.0,0.0,266240.0,0.0,32.5,8192.0,0.0,0.0,0.0,8192.0,0.0
Range,6.0,0.103,6.0,0.103,0.0,0.0,12300.0,0.0,0.375,32800.0,0.0,0.0,0.0,32800.0,0.0
ReduceMean,65.0,1.111,65.0,1.111,0.0,0.0,65.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
Reshape,196.0,3.35,196.0,3.35,0.0,0.0,0.0,0.0,0.0,538050592.0,3.008,0.0,0.0,538050592.0,3.008
ScatterND,1.0,0.017,1.0,0.017,0.0,0.0,0.0,0.0,0.0,4096.0,0.0,0.0,0.0,4096.0,0.0
Shape,497.0,8.494,497.0,8.494,0.0,0.0,0.0,0.0,0.0,9192.0,0.0,0.0,0.0,9192.0,0.0
Sigmoid,32.0,0.547,32.0,0.547,0.0,0.0,1835008.0,0.032,inf,0.0,0.0,0.0,0.0,0.0,0.0
Sin,1.0,0.017,1.0,0.017,0.0,0.0,128.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
Slice,164.0,2.803,164.0,2.803,0.0,0.0,0.0,0.0,0.0,421952.0,0.0,0.0,0.0,421952.0,0.0
Softmax,32.0,0.547,32.0,0.547,0.0,0.0,3148800.0,0.032,inf,0.0,0.0,0.0,0.0,0.0,0.0
Sqrt,65.0,1.111,65.0,1.111,0.0,0.0,65.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
Transpose,161.0,2.752,161.0,2.752,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Trilu,1.0,0.017,1.0,0.017,0.0,0.0,2048.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
Unsqueeze,1011.0,17.279,1011.0,17.279,0.0,0.0,0.0,0.0,0.0,134455816.0,0.768,0.0,0.0,134455816.0,0.768
Where,71.0,1.213,71.0,1.213,0.0,0.0,2391.0,0.0,0.35,6840.0,0.0,0.0,0.0,6840.0,0.0
,5851.0,100.0,5851.0,100.0,8030261248.0,100.0,7784218264.0,100.0,inf,7438610127.0,42.0,6150946816.0,35.0,1287663311.0,7.0
