Operator,Count,Count (%),Number of Params,Params (%),Compute Operations,Compute Operations (%),Memory (in Bytes),Memory (%),Average Compute-to-Memory Ratio (Operations/Byte),Read Memory (in Bytes),Write Memory (in Bytes),Inputs Memory (in Bytes),Weights and Bias Memory (in Bytes),Weights and Bias Memory (%),Output Memory (in Bytes),Output Memory (%),Memory (in MB),Read Memory (in MB),Write Memory (in MB)
Add,228.0,3.897,0.0,0.0,1513162753.0,0.0,3038914568.0,7.948,0.498,3961751576.0,3038914568.0,3961751576.0,0.0,0.0,3038914568.0,7.948,3038.915,3961.752,3038.915
And,1.0,0.017,0.0,0.0,2097152.0,0.0,2097152.0,0.005,1.0,2099200.0,2097152.0,2099200.0,0.0,0.0,2097152.0,0.005,2.097,2.099,2.097
Cast,3.0,0.051,0.0,0.0,2100224.0,0.0,4200448.0,0.011,0.5,2121728.0,4200448.0,2121728.0,0.0,0.0,4200448.0,0.011,4.2,2.122,4.2
Concat,389.0,6.648,0.0,0.0,0.0,0.0,537272648.0,1.425,0.0,537272648.0,537272648.0,537272648.0,0.0,0.0,537272648.0,1.425,537.273,537.273,537.273
Constant,1801.0,30.781,0.0,0.0,0.0,0.0,14584.0,0.0,0.0,0.0,14584.0,0.0,0.0,0.0,14584.0,0.0,0.015,0.0,0.015
ConstantOfShape,71.0,1.213,0.0,0.0,0.0,0.0,4197048.0,0.011,0.0,576.0,4197048.0,576.0,0.0,0.0,4197048.0,0.011,4.197,0.001,4.197
Cos,1.0,0.017,0.0,0.0,131072.0,0.0,262144.0,0.001,0.5,262144.0,262144.0,262144.0,0.0,0.0,262144.0,0.001,0.262,0.262,0.262
Div,97.0,1.658,0.0,0.0,1074856960.0,0.0,2149713920.0,5.632,0.5,2149713920.0,2149713920.0,2149713920.0,0.0,0.0,2149713920.0,5.632,2149.714,2149.714,2149.714
Equal,72.0,1.231,0.0,0.0,2099543.0,0.0,2099543.0,0.005,1.0,4203888.0,2099543.0,4203888.0,0.0,0.0,2099543.0,0.005,2.1,4.204,2.1
Expand,71.0,1.213,0.0,0.0,281280576.0,0.0,612892800.0,1.606,0.459,142764904.0,612892800.0,142764904.0,0.0,0.0,612892800.0,1.606,612.893,142.765,612.893
Gather,1.0,0.017,525336576.0,6.542,0.0,0.0,1059061760.0,2.776,0.0,1050681344.0,8388608.0,8192.0,1050673152.0,2.754,8388608.0,0.022,1059.062,1050.681,8.389
Greater,1.0,0.017,0.0,0.0,2097152.0,0.0,2097152.0,0.005,1.0,24576.0,2097152.0,24576.0,0.0,0.0,2097152.0,0.005,2.097,0.025,2.097
MatMul,290.0,4.956,7504658432.0,93.422,7685979308032.0,99.822,20508704768.0,53.746,374.767,20523255936.0,5499387904.0,5513939072.0,15009316864.0,39.362,5499387904.0,14.384,20508.705,20523.256,5499.388
Mul,393.0,6.717,266240.0,0.0,1822425431.0,0.0,3645385400.0,9.527,0.5,5562315448.0,3644852920.0,5561782968.0,532480.0,0.0,3644852920.0,9.527,3645.385,5562.315,3644.853
Neg,64.0,1.094,0.0,0.0,83886080.0,0.0,167772160.0,0.448,0.5,167772160.0,167772160.0,167772160.0,0.0,0.0,167772160.0,0.448,167.772,167.772,167.772
Pow,65.0,1.111,0.0,0.0,272629760.0,0.0,545259520.0,1.43,0.5,545259520.0,545259520.0,545259520.0,0.0,0.0,545259520.0,1.43,545.26,545.26,545.26
Range,6.0,0.103,0.0,0.0,18438.0,0.0,49168.0,0.0,0.375,0.0,49168.0,0.0,0.0,0.0,49168.0,0.0,0.049,0.0,0.049
ReduceMean,65.0,1.111,0.0,0.0,66560.0,0.0,133120.0,0.0,0.5,545259520.0,133120.0,545259520.0,0.0,0.0,133120.0,0.0,0.133,545.26,0.133
Reshape,196.0,3.35,0.0,0.0,0.0,0.0,1208500240.0,3.136,0.0,1208506216.0,1208500240.0,1208506216.0,0.0,0.0,1208500240.0,3.136,1208.5,1208.506,1208.5
ScatterND,1.0,0.017,0.0,0.0,0.0,0.0,4194304.0,0.011,0.0,75497472.0,4194304.0,75497472.0,0.0,0.0,4194304.0,0.011,4.194,75.497,4.194
Shape,497.0,8.494,0.0,0.0,0.0,0.0,13664.0,0.0,0.0,1733063352.0,13664.0,1733063352.0,0.0,0.0,13664.0,0.0,0.014,1733.063,0.014
Sigmoid,32.0,0.547,0.0,0.0,1879048192.0,0.032,939524096.0,2.464,2.0,939524096.0,939524096.0,939524096.0,0.0,0.0,939524096.0,2.464,939.524,939.524,939.524
Sin,1.0,0.017,0.0,0.0,131072.0,0.0,262144.0,0.001,0.5,262144.0,262144.0,262144.0,0.0,0.0,262144.0,0.001,0.262,0.262,0.262
Slice,164.0,2.803,0.0,0.0,0.0,0.0,415318016.0,1.121,0.0,817910912.0,415318016.0,817910912.0,0.0,0.0,415318016.0,1.121,415.318,817.911,415.318
Softmax,32.0,0.547,0.0,0.0,3224371200.0,0.032,2149580800.0,5.632,1.5,2149580800.0,2149580800.0,2149580800.0,0.0,0.0,2149580800.0,5.632,2149.581,2149.581,2149.581
Sqrt,65.0,1.111,0.0,0.0,66560.0,0.0,133120.0,0.0,0.5,133120.0,133120.0,133120.0,0.0,0.0,133120.0,0.0,0.133,0.133,0.133
Transpose,161.0,2.752,0.0,0.0,0.0,0.0,939917312.0,2.432,0.0,939917312.0,939917312.0,939917312.0,0.0,0.0,939917312.0,2.432,939.917,939.917,939.917
Trilu,1.0,0.017,0.0,0.0,2097152.0,0.0,4194304.0,0.011,0.5,4194304.0,4194304.0,4194304.0,0.0,0.0,4194304.0,0.011,4.194,4.194,4.194
Unsqueeze,1011.0,17.279,0.0,0.0,0.0,0.0,210419008.0,0.584,0.0,210419608.0,210419008.0,210419608.0,0.0,0.0,210419008.0,0.584,210.419,210.42,210.419
Where,71.0,1.213,0.0,0.0,2097495.0,0.0,4197048.0,0.011,0.5,6297287.0,4197048.0,6297287.0,0.0,0.0,4197048.0,0.011,4.197,6.297,4.197
,5851.0,100.0,8030261248.0,100.0,7696143971404.0,100.0,38156381959.0,100.0,388.0,43280065711.0,22095859463.0,27219543215.0,16060522496.0,42.0,22095859463.0,58.0,38156.0,43280.0,22096.0
