Operator,Count,Count (%),Number of Params,Params (%),Memory (in Bytes),Memory (%),Weights and Bias Memory (in Bytes),Weights and Bias Memory (%),Output Memory (in Bytes),Output Memory (%)
Add,393.0,8.18,262400.0,0.0,1386804096.0,10.24,1049600.0,0.0,1385754496.0,10.24
Cast,162.0,3.37,0.0,0.0,92407300.0,0.7,0.0,0.0,92407300.0,0.7
Concat,175.0,3.64,0.0,0.0,62921864.0,0.45,0.0,0.0,62921864.0,0.45
Constant,1403.0,29.2,0.0,0.0,24352.0,0.0,0.0,0.0,24352.0,0.0
ConstantOfShape,1.0,0.02,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0
Conv,66.0,1.37,564305604.0,65.16,2410642192.0,17.35,2257222416.0,16.4,153419776.0,1.12
Cos,1.0,0.02,0.0,0.0,640.0,0.0,0.0,0.0,640.0,0.0
Div,198.0,4.12,0.0,0.0,463995136.0,3.46,0.0,0.0,463995136.0,3.46
Equal,1.0,0.02,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Erf,16.0,0.33,0.0,0.0,184811520.0,1.36,0.0,0.0,184811520.0,1.36
Expand,1.0,0.02,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0
Gather,130.0,2.71,0.0,0.0,128.0,0.0,0.0,0.0,128.0,0.0
Gemm,24.0,0.5,27875520.0,3.22,111592960.0,0.81,111502080.0,0.81,90880.0,0.0
InstanceNormalization,61.0,1.27,0.0,0.0,180224000.0,1.31,0.0,0.0,180224000.0,1.31
MatMul,256.0,5.33,273367040.0,31.69,3948577280.0,28.62,1093468160.0,7.85,2855109120.0,20.72
Mul,350.0,7.28,100160.0,0.0,1150152584.0,8.45,400640.0,0.0,1149751944.0,8.45
Pow,48.0,1.0,0.0,0.0,138608640.0,1.05,0.0,0.0,138608640.0,1.05
ReduceMean,96.0,2.0,0.0,0.0,646656.0,0.0,0.0,0.0,646656.0,0.0
Reshape,283.0,5.89,0.0,0.0,737758728.0,5.42,0.0,0.0,737758728.0,5.42
Resize,3.0,0.06,0.0,0.0,17039360.0,0.13,0.0,0.0,17039360.0,0.13
Shape,224.0,4.66,0.0,0.0,6624.0,0.0,0.0,0.0,6624.0,0.0
Sigmoid,47.0,0.98,0.0,0.0,134031360.0,0.96,0.0,0.0,134031360.0,0.96
Sin,1.0,0.02,0.0,0.0,640.0,0.0,0.0,0.0,640.0,0.0
Slice,66.0,1.37,0.0,0.0,369624576.0,2.72,0.0,0.0,369624576.0,2.72
Softmax,32.0,0.67,0.0,0.0,1969566720.0,14.2,0.0,0.0,1969566720.0,14.2
Sqrt,144.0,3.0,0.0,0.0,323712.0,0.0,0.0,0.0,323712.0,0.0
Sub,48.0,1.0,0.0,0.0,138608640.0,1.05,0.0,0.0,138608640.0,1.05
Transpose,160.0,3.33,0.0,0.0,377310720.0,2.8,0.0,0.0,377310720.0,2.8
Unsqueeze,414.0,8.62,0.0,0.0,164240.0,0.0,0.0,0.0,164240.0,0.0
Where,1.0,0.02,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0
,4805.0,100.0,865910724.0,100.07,13875844693.0,101.08,3463642896.0,25.06,10412201797.0,76.14
