UNet,VAE Decoder,Total
3739.18,191.99,12593.821287155151
8033.48,191.26,14350.139856338501
5451.24,194.11,12979.609727859497
1710.48,196.81,10661.438703536987
2890.06,196.24,11838.143110275269
2465.64,194.1,12017.023086547852
6047.96,197.91,13562.637567520142
3537.84,198.2,11917.749881744385
1921.72,196.21,11263.7357711792
6937.44,198.11,13889.604568481445
1911.16,194.89,11372.256994247437
1598.94,194.18,10985.631704330444
1817.44,193.08,11280.779600143433
1861.8,200.52,11420.191049575806
3261.04,192.87,13249.944686889648
833.9,198.78,70495.22280693054
711.58,204.88,11709.42759513855
3077.04,194.81,38109.75980758667
1503.0,191.17,31213.81974220276
1871.64,197.63,21674.651622772217
664.92,194.66,30539.812803268433
309.645,199.96,43501.60717964172
298.685,201.0,64795.81165313721
