UNet,VAE Decoder,Total
2864.9,195.08,64457.23366737366
2073.9,196.3,51497.8883266449
1752.14,177.31,50223.88195991516
2657.9,193.7,65957.45778083801
2563.78,196.1,55842.45681762695
1674.66,161.64,37065.73247909546
2197.82,192.36,33224.69115257263
1353.64,119.31,19321.53367996216
1240.56,124.34,14339.842557907104
1345.7,121.77,13590.9743309021
296.33,122.18,42280.05409240723
438.51,195.26,96136.66915893555
291.675,126.69,46368.17812919617
297.215,124.61,39223.13070297241
305.715,147.44,38505.24353981018
296.84,126.53,36704.965114593506
298.635,124.95,36265.24043083191
292.955,124.8,36356.88495635986
295.975,122.71,39170.48525810242
299.61,124.65,39027.13894844055
301.105,124.11,40530.96389770508
299.07,130.72,39351.104736328125
469.795,130.78,42081.010818481445
295.665,123.39,39285.9263420105
295.115,132.92,39263.83376121521
296.41,125.85,39165.087938308716
296.47,124.38,39027.74095535278
181.915,99.23,32512.848377227783
292.835,124.8,38987.473011016846
296.59,128.71,39271.74115180969
473.055,125.82,41562.75296211243
397.8733333333333,118.94,30478.77812385559
624.0133333333333,125.39,33242.990493774414
296.075,129.41,39484.63940620422
1395.48,125.81,15543.610334396362
1492.66,126.84,29024.330377578735
669.62,130.32,37446.54607772827
20900.18,27981.9,93719.76494789124
20774.1,27409.52,90950.56629180908
